,NAME,PLM,PLM2,INC,StPoll,Final,Rating,RepWins
0,Alabama,29.59,-29.59,19.2,15.3815239,25.297551490999997,Solid R,100.0%
1,Alaska,14.62,-14.62,7.0,5.7320142,11.481489798,Solid R,99.18%
2,Arizona,7.59,-7.59,0.0,-1.0,3.4622999999999995,Lean R,70.7%
3,Arkansas,31.84,-31.84,0.0,4.051584399999999,18.345393235999996,Solid R,100.0%
4,California,-25.45,25.45,-23.8,-18.9692325,-24.703270425,Solid D,0.0%
5,Colorado,-6.37,6.37,-10.6,-8.0980377,-8.102546013000001,Solid D,1.25%
6,Connecticut,-12.13,12.13,-3.2,-4.4623253,-8.227104457,Solid D,1.26%
7,Florida,7.6,-7.6,0.4,8.0,9.680999999999997,Solid R,98.82%
8,Georgia,5.0,-7.43,1.4,4.8,6.260999999999999,Solid R,95.18%
9,Hawaii,-31.65,31.65,0.0,-5.4344565000000005,-18.040274985,Solid D,0.0%
10,Idaho,36.97,-36.97,21.6,17.9424337,30.557179252999997,Solid R,100.0%
11,Illinois,-13.44,13.44,-15.7,-12.2531774,-14.343492406,Solid D,0.39%
12,Iowa,9.68,-9.68,2.8,2.4419668,6.847557091999999,Solid R,98.5%
13,Kansas,20.68,-20.68,-5.0,-0.6538811999999999,9.803421971999999,Solid R,98.84%
14,Maine,-4.05,4.05,-7.7,-5.9893375,-5.528142875,Likely D,9.82%
15,Maryland,-25.9,25.9,0.0,-4.575349,-14.74499081,Solid D,0.26%
16,Massachusetts,-32.64,32.64,0.0,-5.582372400000001,-18.607636956,Solid D,0.0%
17,Michigan,1.65,-1.65,-9.6,-6.7,-3.3584999999999994,Lean D,29.62%
18,Minnesota,-1.93,1.93,-11.4,-7.920745299999999,-5.901414256999999,Likely D,7.73%
19,Nebraska,24.84,-24.84,0.0,3.0057144,14.333742935999998,Solid R,99.58%
20,Nevada,2.55,-2.55,-4.1,0.4,2.0185,Tilt R,58.55%
21,New Hampshire,-0.34,0.34,7.1,21.0,14.986199999999998,Solid R,99.7%
22,New Mexico,-7.02,7.02,-14.4,-5.0,-6.308399999999999,Solid D,4.28%
23,New York,-19.96,19.96,0.0,-16.0,-19.836199999999998,Solid D,0.0%
24,Ohio,12.35,-12.35,3.7,3.3877405,8.764040944999998,Solid R,98.85%
25,Oklahoma,37.21,-37.21,12.1,12.2059971,26.616837998999998,Solid R,100.0%
26,Oregon,-10.55,10.55,-6.4,-6.1706095,-8.695220554999999,Solid D,1.39%
27,Pennsylvania,2.9,-2.9,0.0,-6.0,-2.1919999999999997,Tilt D,39.09%
28,Rhode Island,-24.02,24.02,0.0,-4.2944582,-13.667576158,Solid D,0.5%
29,South Carolina,18.64,-18.64,8.1,7.001013400000001,14.257499245999998,Solid R,99.69%
30,South Dakota,32.24,-32.24,4.4,6.784832400000001,20.463334356,Solid R,100.0%
31,Tennessee,29.41,-29.41,21.1,16.5090891,26.009971479,Solid R,100.0%
32,Texas,11.98,-11.98,13.3,6.8,11.0406,Solid R,99.24%
33,Vermont,-27.55,27.55,41.2,44.0,18.4085,Solid R,100.0%
34,Wisconsin,4.12,-4.12,-1.1,-1.6,1.4063999999999999,Tossup,54.02%
35,Wyoming,49.73,-49.73,39.6,30.7858853,45.59636085699999,Solid R,100.0%
