,NAME,PLM,INC,StPoll,Final,Rating,RepWins
0,Alabama,29.59,0,25,32.1673,Solid R,100.00%
1,Alaska,14.62,28,18.4918242,20.9207587,Solid R,100.00%
2,Arizona,7.59,-2.4,-4.5,1.4483,Tossup,58.86%
3,Arkansas,31.84,34,24.7103244,33.36492384,Solid R,100.00%
4,California,-25.45,-24,-19.0907545,-24.36412061,Solid D,0.00%
5,Colorado,-6.37,-6,-7.7,-7.3569,Likely D,6.62%
6,Connecticut,-12.13,-28,-9,-11.1811,Solid D,0.24%
7,Florida,7.6,8,4.7,7.905,Solid R,96.69%
8,Georgia,5,-2,-3.3,1.063,Tossup,56.91% (58.1% chance of runoff)
9,Hawaii,-31.65,-42,-30.9540765,-35.64381278,Solid D,0.00%
10,Idaho,36.97,38,27.9072377,38.02189401,Solid R,100.00%
11,Illinois,-13.44,-15,-11.8278504,-13.61801678,Solid D,0.06%
12,Indiana,19.98,10,8.3556818,16.26602044,Solid R,100.00%
13,Iowa,9.68,24,7,10.6296,Solid R,99.18%
14,Kansas,20.68,30,20.6124688,25.25220347,Solid R,100.00%
15,Kentucky,27.11,14,11.8514151,22.06917642,Solid R,100.00%
16,Louisiana,20.54,22,15.7306714,21.73796327,Solid R,100.00%
17,Maryland,-25.9,-25,-19.765599,-25.05126331,Solid D,0.00%
18,Missouri,21.23,0,13.5,20.3031,Solid R,100.00%
19,Nevada,2.55,-2,1.7,3.3615,Lean R,69.67%
20,New Hampshire,-0.34,-0.1,-5.8,-3.1528,Lean D,30.71%
21,New York,-19.96,-44,-30.4226936,-29.80285858,Solid D,0.00%
22,North Carolina,4.8,0,1.5,4.301,Lean R,75.84%
23,North Dakota,37.24,62,42.5302184,48.4786507,Solid R,100.00%
24,Ohio,12.35,0,0.7,7.2975,Likely R,93.28%
25,Oklahoma,37.21,0,4.8539161,21.84790211,Solid R,100.00%
26,Oregon,-10.55,-24,-16.8645455,-15.82503639,Solid D,0.01%
27,Pennsylvania,2.9,0,-3.4,0.027,Tossup,50.50%
28,South Carolina,18.64,24,16.6620124,21.50758856,Solid R,100.00%
29,South Dakota,32.24,44,30.8461884,37.88667,Solid R,100.00%
30,Utah,26.32,41,9.1,20.0694,Solid R,100.00%
31,Vermont,-27.55,-28,-21.8349555,-27.2846193,Solid D,0.00%
32,Washington,-12.44,-18,-8.7,-11.0198,Solid D,0.39%
33,Wisconsin,4.12,3,2.8,4.9084,Lean R,79.39%
